#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
NTM01125	2	44.15	43.37	-71.95	6.2	80	120	0	0	0	0.15	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Never	Showerhead
NTM01457	2	0.23	33.87	-84.39	6.2	40	50	0	0	0	4	0.3	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00392	2	10.5	35.92	-78.82	6.2	80	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00609	2	0.11	39.48	-118.85	6.8	120	120	0	0	0	1	0	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00606	2	12.79	42.58	-87.94	7	185	260	0.25	0.25	1	0	0.005	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Gas Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00651	2	46.17	40.68	-73.97	6.2	40	120	0	0	0	0	0.05	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00501	2	18.25	38.54	-121.56	6.8	120	250	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00228	2	29.47	40.17	-74.82	6.2	80	50	0	1	0.15	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00504	2	0.19	37.46	-122.16	6.8	40	50	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00457	2	26.64	35.79	-78.65	6.2	70	70	0.5	0	2	0	0.3	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00301	2	18.75	35.80	-78.84	6.2	60	50	0.25	4	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Targeted Pattern Producing Sharp Pointed Spray	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00246	2	0.05	36.01	-78.90	6.2	60	120	0	0.75	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes; plastic screen	Wide Coverage That Feels Like Drenching Rain	Gas Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00260	2	13.76	40.67	-74.00	6.2	40	120	0.5	0.5	0.25	0.5	0.3	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00175	2	3.29	45.36	-93.14	6.8	120	250	0	0	1	0	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00190	2	10.6	42.64	-88.63	7.2	180	250	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Yearly	Showerhead
NTM00130	2	0.05	39.95	-83.79	6.8	60	100	0	0.5	0	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM01330	2	0.12	38.47	-122.82	7.8	220	20/338	0	0	0	1	0.2	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00637	2	4.15	47.65	-122.94	7	90	120	0	0	0.15	1	0.1	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00558	2	92.94	26.94	-80.10	6.8	120	250	0	2	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	DO Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00576	2	30.02	47.55	-122.39	6.6	50	120	0	0	0	0	0.1	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Plastic	Brass	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00358	2	6.83	32.83	-117.27	6.8	180	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00332	2	16.5	42.55	-83.22	6.2	40	120	0.5	0.5	NA	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM00187	2	0.05	42.89	-89.71	6.8	160	NA	0	0	0	1	0.2	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00010	2	0.69	34.93	-82.21	6.2	120	120	0	2	1	0.15	0.6	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Yearly	Showerhead
NTM00060	2	33.02	37.22	-80.39	6.5	100	120	0	2	0	1	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Nickel	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00401	2	40.73	29.69	-98.13	6.8	120	250	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Once a Year	Bleach and Water	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00252	2	0.01	35.72	-78.71	6.8	180	50	0	0	0	0	0	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Do Not know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00281	2	23.89	26.61	-80.05	7.2	120	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	>10 Years	Never	Showerhead
NTM00290	2	0.01	40.52	-80.04	6.8	80	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00472	2	0.92	40.77	-73.93	6.2	60	85	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00123	2	1.42	42.75	-75.18	6.8	180	120	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00438	2	11.51	39.26	-75.59	6.2	120	120	0	0.5	0	2	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00128	2	20.99	38.87	-77.12	6.8	120	250	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00380	2	28.9	40.44	-78.62	6.2	180	50	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Nickel	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00250	2	0.08	35.75	-78.73	NA	40	70	2	0	0	1	0.7	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00020	2	0.03	42.24	-73.41	6.2	120	50	0	0	2	0	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Once a Month	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00045	2	73.81	*	*	6.2	100	120	0	1	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM01050	2	3	32.27	-110.84	6.8	140	250	0	0.5	0	1	0.1	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01226	2	0.48	42.79	-89.04	7	180	25	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00194	2	27.45	36.01	-78.92	6	6	120	0	0	1	5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00399	2	11.94	45.45	-93.63	6.8	180	250	0	0	1	0	0	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00454	2	41.14	35.75	-78.67	6.2	80	120	0	0.5	1	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00033	2	0.04	39.40	-86.02	7.2	120	120	0	0	0	0	0.1	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00381	2	19.02	32.79	-96.96	6.2	40	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Once a Year	Soapy Water	Plastic	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00107	2	1.4	42.28	-85.63	6.8	240	250	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00079	2	0.04	29.66	-95.45	6.5	120	150	0	3	0	0	0.1	Municipal Water System	Within the Last 6 Months	5-9 times/week	Once a Year	Soapy Water	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00147	2	4.36	39.31	-76.40	6.2	150	120	0	0	0	1	0.1	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01456	2	5.13	44.07	-121.29	6.5	40	50	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Once a Year	Water	Plastic	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM01288	2	0.05	38.29	-122.49	6.8	180	250	0	0	0	10	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00650	2	0.28	33.41	-111.49	6.8	180	250	0	0	0	5	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Brass	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00546	2	0.01	34.78	-112.43	6.8	120	250	0	0	2	0	0	Unknown/Other	Do Not Know	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Every Few Years	Showerhead
NTM00116	2	26.94	42.82	-76.94	6.8	240	50	0	0	0	2	0.075	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00442	2	0.1	37.25	-80.46	6.2	240	20/340	0	0	0	1	0.15	Well-Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00383	2	27.25	30.50	-97.65	6.8	240	120	0	0.5	1	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00498	2	0.03	43.17	-77.73	6.2	120	250	0.5	0.5	0	1	0.15	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00435	2	2.97	40.20	-75.51	6.2	180	50	0	0	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00212	2	29.65	33.93	-83.33	6.2	100	25/425	0	0.25	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00101	2	0.04	57.03	-135.33	6.8	140	250	0	0	0	0	0	Quarry Lake	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00007	2	20.39	38.85	-77.11	6.8	180	120	0	1	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00978	2	0.19	46.70	-90.98	6.2	80	120	0	0	0	0	0.15	Well-Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM01425	2	2.35	30.27	-97.70	7.2	80	120	0	0.5	0.15	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00288	2	12.8	36.00	-84.27	6.8	180	120	0	0.5	0.07	1	0.07	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00539	2	5.52	35.61	-82.54	6.8	60	120	0	0.5	0.15	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00157	2	25.12	34.14	-84.07	NA	40	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Brass	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00487	2	10.22	35.97	-78.92	6.2	80	120	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	No Finish	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	>10 Years	Never	Showerhead
NTM00108	2	0.66	40.61	-105.13	7.8	180	120	0	0	0	1	0.15	Municipal Water System	Do Not Know	5-9 times/week	Once a Year	Bleach and Water	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00295	2	3.31	36.01	-78.92	6.2	150	120	0	0	0	0	0.1	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	Do Not Know	NA	Showerhead
NTM00477	2	3.37	38.48	-79.73	6.2	40	120	0	0	0	1	0.2	Unknown/Other	More than 6 Months Ago	14+ times/week	Never	NA	Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM01008	2	1.88	40.72	-74.05	6.2	50	230	0.6	1.5	0	1	0.8	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Gas Tankless Water Heater	6-10 Years	Never	Showerhead
NTM01036	2	2.94	37.88	-122.53	6.8	40	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once Every 6 Months	Bleach and Water	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00579	2	0.03	40.01	-105.23	6.8	80	250	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Electric Tankless Water Heater	1-5 Years	NA	Showerhead
NTM00433	2	45.66	43.56	-70.20	6.2	40	50	0	0	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00059	2	18.07	35.80	-78.77	6.2	60	120	0	0.5	0	1.5	0.3	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00481	2	0.04	33.45	-81.65	6.2	40	120	0	0	10	0	0.1	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	1-5 Years	Yearly	Showerhead
NTM00037	2	0	35.89	-78.67	6.2	80	120	0	4	0	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Gas Tankless Water Heater	6-10 Years	NA	Showerhead
NTM00357	2	0.43	39.13	-77.03	< 6.2	50	425	0	0	0	2	0.3	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Bronze	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00468	2	7.66	34.58	-82.76	< 6.2	40	50	0	0	0	0	0.15	Community Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Plastic	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00186	2	0.09	38.98	-94.60	8.1	60	120	0.25	1.5	0	0.5	0.07	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Every Few Years	Showerhead
NTM00048	2	2.31	41.75	-88.00	6.8	180	120	0.3	0.5	1	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00480	2	15.68	33.02	-80.11	6.2	60	120	0	0.5	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00321	2	25.49	37.81	-78.49	6.2	80	120	0	0	0	0	0.15	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00377	2	1.98	32.63	-97.41	6.2	180	120	0	0	0	1	0.1	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00243	2	59.82	38.90	-77.00	6.2	0	120	0	1.5	0	1	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00467	2	15.05	32.73	-117.13	6.6	180	120	0	0.5	0	0	0.05	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00271	2	0.06	37.68	-122.49	6.2	80	NA	0	0.3	1	5	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Once a Month	Commercial Cleaning Solution	Combination of Plastic/Metal	Nickel	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00460	2	0.03	40.49	-106.83	8.4	80	50	0	0	1	0	0	Well-Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	<1 Year	Never	Showerhead
NTM00025	2	0.06	41.11	-80.11	7.2	180	250	0	0	0	0	0.3	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00325	2	0.83	40.80	-74.30	6.8	180	20	0	0	1	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Plastic	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00261	2	77.32	42.77	-84.41	6.8	80	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
